#group,false,false,false,false,false,false,false
#datatype,string,long,double,string,double,string,dateTime:RFC3339
#default,_result,,,,,,
,result,table,Humidity,SSID,Temperature,device,time
,,0,40.9,ESP32-host,23.6,ESP32,2023-05-11T09:38:04.844013663Z
,,0,40.2,ESP32-host,27.8,ESP32,2023-05-11T09:07:33.588353952Z
,,0,37.5,ESP32-host,28.1,ESP32,2023-05-11T09:07:45.435297963Z
,,0,37.1,ESP32-host,28.1,ESP32,2023-05-11T09:07:57.028371702Z
,,0,36.9,ESP32-host,28.1,ESP32,2023-05-11T09:08:08.371876863Z
,,0,37,ESP32-host,28.1,ESP32,2023-05-11T09:08:19.903971875Z
,,0,36.9,ESP32-host,28,ESP32,2023-05-11T09:08:31.41084935Z
,,0,36.9,ESP32-host,28,ESP32,2023-05-11T09:08:43.074970606Z
,,0,37.6,ESP32-host,27.9,ESP32,2023-05-11T09:08:54.239559433Z
,,0,38.4,ESP32-host,27.9,ESP32,2023-05-11T09:09:05.512051233Z
,,0,37.2,ESP32-host,27.9,ESP32,2023-05-11T09:09:16.673836695Z
,,0,37,ESP32-host,27.9,ESP32,2023-05-11T09:09:27.936496537Z
,,0,37.2,ESP32-host,27.8,ESP32,2023-05-11T09:09:39.304620324Z
,,0,37.4,ESP32-host,27.8,ESP32,2023-05-11T09:09:50.660157662Z
,,0,37.2,ESP32-host,27.8,ESP32,2023-05-11T09:10:01.829799515Z
,,0,37.1,ESP32-host,27.8,ESP32,2023-05-11T09:10:13.309117657Z
,,0,37.1,ESP32-host,27.8,ESP32,2023-05-11T09:10:24.557431681Z
,,0,37.2,ESP32-host,27.7,ESP32,2023-05-11T09:10:35.825481996Z
,,0,37.4,ESP32-host,27.7,ESP32,2023-05-11T09:10:47.085135042Z
,,0,37.7,ESP32-host,27.7,ESP32,2023-05-11T09:10:58.652180322Z
,,0,38.8,ESP32-host,27.7,ESP32,2023-05-11T09:11:10.140336297Z
,,0,38.2,ESP32-host,27.8,ESP32,2023-05-11T09:11:21.496505644Z
,,0,37.7,ESP32-host,27.8,ESP32,2023-05-11T09:12:10.247029707Z
,,0,38.1,ESP32-host,27.9,ESP32,2023-05-11T09:13:11.781127551Z
,,0,37.8,ESP32-host,27.9,ESP32,2023-05-11T09:14:13.418335013Z
,,0,38.1,ESP32-host,27.8,ESP32,2023-05-11T09:15:15.074845123Z
,,0,100,ESP32-host,150,ESP32,2023-05-11T09:27:39.19883908Z
,,0,41.6,ESP32-host,25.8,ESP32,2023-05-11T09:28:40.814284386Z
,,0,38.8,ESP32-host,25,ESP32,2023-05-11T09:29:43.205307912Z
,,0,39.6,ESP32-host,24.5,ESP32,2023-05-11T09:30:44.734176998Z
,,0,43.9,ESP32-host,24.2,ESP32,2023-05-11T09:31:46.458863369Z
,,0,42.7,ESP32-host,24.1,ESP32,2023-05-11T09:32:55.014201547Z
,,0,44,ESP32-host,24,ESP32,2023-05-11T09:33:57.259586428Z
,,0,41,ESP32-host,23.8,ESP32,2023-05-11T09:34:58.904228583Z
,,0,40.3,ESP32-host,23.7,ESP32,2023-05-11T09:36:00.534702118Z
,,0,40.4,ESP32-host,23.6,ESP32,2023-05-11T09:37:02.183891921Z

